,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,model,consumption
133,2,gas,std,4,sedan,fwd,front,251.714,473.964,168.91,142.494,1222.43044,ohc,4,2.0,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0,saab,99le,9.6
134,3,gas,std,2,hatchback,fwd,front,251.714,473.964,168.91,142.494,1227.873544,ohc,4,2.0,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0,saab,99le,9.6
135,2,gas,std,4,sedan,fwd,front,251.714,473.964,168.91,142.494,1251.006736,ohc,4,2.0,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0,saab,99gle,9.6
136,3,gas,turbo,2,hatchback,fwd,front,251.714,473.964,168.91,142.494,1273.686336,dohc,4,2.0,mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0,saab,99gle,10.5
137,2,gas,turbo,4,sedan,fwd,front,251.714,473.964,168.91,142.494,1291.376424,dohc,4,2.0,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0,saab,99e,10.5
138,2,gas,std,2,hatchback,fwd,front,237.99800000000002,398.526,161.036,136.398,929.8636,ohcf,4,1.6,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0,subaru,,7.0
139,2,gas,std,2,hatchback,fwd,front,237.99800000000002,401.06600000000003,161.544,136.398,961.61504,ohcf,4,1.8,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0,subaru,dl,8.3
140,2,gas,std,2,hatchback,4wd,front,236.982,399.54200000000003,162.052,141.478,1016.04608,ohcf,4,1.8,2bbl,3.62,2.64,8.7,73,4400,26,31,7603.0,subaru,dl,8.3
141,0,gas,std,4,sedan,fwd,front,246.888,436.88,166.116,133.35,972.95484,ohcf,4,1.8,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0,subaru,,6.8
142,0,gas,std,4,sedan,fwd,front,246.888,436.88,166.116,133.35,993.36648,ohcf,4,1.8,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0,subaru,brz,7.7
143,0,gas,std,4,sedan,fwd,front,246.888,436.88,166.116,133.35,1061.40528,ohcf,4,1.8,mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0,subaru,baja,8.1
144,0,gas,std,4,sedan,4wd,front,246.38,436.88,166.116,137.922,1081.81692,ohcf,4,1.8,2bbl,3.62,2.64,9.0,82,4800,24,25,9233.0,subaru,r1,9.6
145,0,gas,turbo,4,sedan,4wd,front,246.38,436.88,166.116,137.922,1138.51592,ohcf,4,1.8,mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0,subaru,r2,8.9
146,0,gas,std,4,wagon,fwd,front,246.38,440.69,166.116,134.62,1038.72568,ohcf,4,1.8,2bbl,3.62,2.64,9.0,82,4800,28,32,7463.0,subaru,trezia,7.8
147,0,gas,std,4,wagon,fwd,front,246.38,440.69,166.116,134.62,1113.56836,ohcf,4,1.8,mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0,subaru,tribeca,8.4
148,0,gas,std,4,wagon,4wd,front,246.126,440.944,166.116,139.446,1097.69264,ohcf,4,1.8,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0,subaru,dl,9.0
149,0,gas,turbo,4,wagon,4wd,front,246.126,440.944,166.116,139.446,1202.0188,ohcf,4,1.8,mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0,subaru,dl,10.2
150,1,gas,std,2,hatchback,fwd,front,243.078,403.09799999999996,161.544,138.43,900.38012,ohc,4,1.5,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0,toyota,corona mark ii,6.4
151,1,gas,std,2,hatchback,fwd,front,243.078,403.09799999999996,161.544,138.43,925.32768,ohc,4,1.5,2bbl,3.05,3.03,9.0,62,4800,31,38,6338.0,toyota,corona,6.8
152,1,gas,std,4,hatchback,fwd,front,243.078,403.09799999999996,161.544,138.43,913.98788,ohc,4,1.5,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0,toyota,corolla 1200,6.8
153,0,gas,std,4,wagon,fwd,front,243.078,431.03799999999995,161.544,150.114,1034.18976,ohc,4,1.5,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0,toyota,corona hardtop,6.9
154,0,gas,std,4,wagon,4wd,front,243.078,431.03799999999995,161.544,150.114,1038.72568,ohc,4,1.5,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0,toyota,corolla 1600 (sw),8.0
155,0,gas,std,4,wagon,4wd,front,243.078,431.03799999999995,161.544,150.114,1410.67112,ohc,4,1.5,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0,toyota,carina,8.0
156,0,gas,std,4,sedan,fwd,front,243.078,422.40200000000004,163.57600000000002,134.62,943.924952,ohc,4,1.6,2bbl,3.19,3.03,9.0,70,4800,30,37,6938.0,toyota,mark ii,7.0
157,0,gas,std,4,hatchback,fwd,front,243.078,422.40200000000004,163.57600000000002,134.112,956.625528,ohc,4,1.6,2bbl,3.19,3.03,9.0,70,4800,30,37,7198.0,toyota,corolla 1200,7.0
158,0,diesel,std,4,sedan,fwd,front,243.078,422.40200000000004,163.57600000000002,134.62,1031.9218,ohc,4,1.8,idi,3.27,3.35,22.5,56,4500,34,36,7898.0,toyota,corona,6.7
159,0,diesel,std,4,hatchback,fwd,front,243.078,422.40200000000004,163.57600000000002,134.112,1031.9218,ohc,4,1.8,idi,3.27,3.35,22.5,56,4500,38,47,7788.0,toyota,corolla,5.5
160,0,gas,std,4,sedan,fwd,front,243.078,422.40200000000004,163.57600000000002,134.62,949.821648,ohc,4,1.6,2bbl,3.19,3.03,9.0,70,4800,38,47,7738.0,toyota,corona,5.5
161,0,gas,std,4,hatchback,fwd,front,243.078,422.40200000000004,163.57600000000002,134.112,962.5222239999999,ohc,4,1.6,2bbl,3.19,3.03,9.0,70,4800,28,34,8358.0,toyota,corolla,7.6
162,0,gas,std,4,sedan,fwd,front,243.078,422.40200000000004,163.57600000000002,134.112,970.68688,ohc,4,1.6,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0,toyota,mark ii,7.6
163,1,gas,std,2,sedan,rwd,front,240.03,428.498,162.56,133.604,983.841048,ohc,4,1.6,2bbl,3.19,3.03,9.0,70,4800,29,34,8058.0,toyota,corolla liftback,7.5
164,1,gas,std,2,hatchback,rwd,front,240.03,428.498,162.56,133.604,999.716768,ohc,4,1.6,2bbl,3.19,3.03,9.0,70,4800,29,34,8238.0,toyota,corona,7.5
165,1,gas,std,2,sedan,rwd,front,240.03,428.498,162.56,133.604,1027.38588,dohc,4,1.6,mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0,toyota,celica gt liftback,8.6
166,1,gas,std,2,hatchback,rwd,front,240.03,428.498,162.56,133.604,1043.2616,dohc,4,1.6,mpfi,3.24,3.08,9.4,112,6600,26,29,9538.0,toyota,corolla tercel,8.6
167,2,gas,std,2,hardtop,rwd,front,249.936,447.548,166.624,132.08,1152.12368,ohc,4,2.4,mpfi,3.62,3.5,9.3,116,4800,24,30,8449.0,toyota,corona liftback,8.7
168,2,gas,std,2,hardtop,rwd,front,249.936,447.548,166.624,132.08,1150.309312,ohc,4,2.4,mpfi,3.62,3.5,9.3,116,4800,24,30,9639.0,toyota,corolla,8.7
169,2,gas,std,2,hatchback,rwd,front,249.936,447.548,166.624,132.08,1157.113192,ohc,4,2.4,mpfi,3.62,3.5,9.3,116,4800,24,30,9989.0,toyota,starlet,8.7
170,2,gas,std,2,hardtop,rwd,front,249.936,447.548,166.624,132.08,1215.172968,ohc,4,2.4,mpfi,3.62,3.5,9.3,116,4800,24,30,11199.0,toyota,tercel,8.7
171,2,gas,std,2,hatchback,rwd,front,249.936,447.548,166.624,132.08,1231.048688,ohc,4,2.4,mpfi,3.62,3.5,9.3,116,4800,24,30,11549.0,toyota,corolla,8.7
172,2,gas,std,2,convertible,rwd,front,249.936,447.548,166.624,134.62,1349.4362,ohc,4,2.4,mpfi,3.62,3.5,9.3,116,4800,24,30,17669.0,toyota,cressida,8.7
173,-1,gas,std,4,sedan,fwd,front,260.096,446.024,168.91,139.446,1055.054992,ohc,4,2.0,mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0,toyota,corolla,7.5
174,-1,diesel,turbo,4,sedan,fwd,front,260.096,446.024,168.91,139.446,1124.90816,ohc,4,1.8,idi,3.27,3.35,22.5,73,4500,30,33,10698.0,toyota,celica gt,7.5
175,-1,gas,std,4,hatchback,fwd,front,260.096,446.024,168.91,136.906,1094.971088,ohc,4,2.0,mpfi,3.31,3.54,8.7,92,4200,27,32,9988.0,toyota,corona,8.0
176,-1,gas,std,4,sedan,fwd,front,260.096,446.024,168.91,139.446,1094.971088,ohc,4,2.0,mpfi,3.31,3.54,8.7,92,4200,27,32,10898.0,toyota,corolla,8.0
177,-1,gas,std,4,hatchback,fwd,front,260.096,446.024,168.91,136.906,1114.929136,ohc,4,2.0,mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0,toyota,mark ii,8.0
178,3,gas,std,2,hatchback,rwd,front,261.36600000000004,466.09000000000003,171.958,132.08,1349.889792,dohc,6,2.8,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0,toyota,corolla liftback,10.7
179,3,gas,std,2,hatchback,rwd,front,261.36600000000004,466.09000000000003,171.958,132.08,1368.033472,dohc,6,2.8,mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0,toyota,corona,10.9
180,-1,gas,std,4,sedan,rwd,front,265.43,477.01200000000006,168.91,137.41400000000002,1420.1965519999999,dohc,6,2.8,mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0,toyota,starlet,10.7
181,-1,gas,std,4,wagon,rwd,front,265.43,477.01200000000006,168.91,137.41400000000002,1429.268392,dohc,6,2.6,mpfi,3.27,3.35,9.2,156,5200,19,24,15750.0,toyota,tercel,10.9
182,2,diesel,std,2,sedan,fwd,front,247.142,436.118,166.37,141.478,1025.571512,ohc,4,1.6,idi,3.01,3.4,23.0,52,4800,37,46,7775.0,volkswagen,rabbit,5.7
183,2,gas,std,2,sedan,fwd,front,247.142,436.118,166.37,141.478,1001.984728,ohc,4,1.8,mpfi,3.19,3.4,9.0,85,5250,27,34,7975.0,volkswagen,1131 deluxe sedan,7.7
184,2,diesel,std,4,sedan,fwd,front,247.142,436.118,166.37,141.478,1026.932288,ohc,4,1.6,idi,3.01,3.4,23.0,52,4800,37,46,7995.0,volkswagen,model 111,5.7
185,2,gas,std,4,sedan,fwd,front,247.142,436.118,166.37,141.478,1003.345504,ohc,4,1.8,mpfi,3.19,3.4,9.0,85,5250,27,34,8195.0,volkswagen,type 3,7.7
186,2,gas,std,4,sedan,fwd,front,247.142,436.118,166.37,141.478,1031.9218,ohc,4,1.8,mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0,volkswagen,411 (sw),7.7
187,2,diesel,turbo,4,sedan,fwd,front,247.142,436.118,166.37,141.478,1051.879848,ohc,4,1.6,idi,3.01,3.4,23.0,68,4500,37,42,9495.0,volkswagen,super beetle,6.0
188,2,gas,std,4,sedan,fwd,front,247.142,436.118,166.37,141.478,1043.2616,ohc,4,1.8,mpfi,3.19,3.4,10.0,100,5500,26,32,9995.0,volkswagen,dasher,8.1
189,3,gas,std,2,convertible,fwd,front,240.03,404.622,163.068,141.22400000000002,1022.3963679999999,ohc,4,1.8,mpfi,3.19,3.4,8.5,90,5500,24,29,11595.0,volkswagen,dasher,8.9
190,3,gas,std,2,hatchback,fwd,front,240.03,420.878,162.56,130.556,1007.427832,ohc,4,1.8,mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0,volkswagen,rabbit,8.9
191,0,gas,std,4,sedan,fwd,front,255.01600000000002,457.70799999999997,169.92600000000002,139.954,1207.008312,ohc,5,2.2,mpfi,3.19,3.4,8.5,110,5500,19,24,13295.0,volkswagen,rabbit,10.9
192,0,diesel,turbo,4,sedan,fwd,front,255.01600000000002,457.70799999999997,169.92600000000002,139.954,1169.813768,ohc,4,1.6,idi,3.01,3.4,23.0,68,4500,33,38,13845.0,volkswagen,rabbit custom,6.6
193,0,gas,std,4,wagon,fwd,front,255.01600000000002,465.074,169.92600000000002,139.954,1162.556296,ohc,4,1.8,mpfi,3.19,3.4,9.0,88,5500,25,31,12290.0,volkswagen,dasher,8.4
194,-2,gas,std,4,sedan,rwd,front,264.92199999999997,479.552,170.68800000000002,142.74800000000002,1320.859904,ohc,4,2.3,mpfi,3.78,3.15,9.5,114,5400,23,28,12940.0,volvo,145e (sw),9.2
195,-1,gas,std,4,wagon,rwd,front,264.92199999999997,479.552,170.68800000000002,146.05,1376.198128,ohc,4,2.3,mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0,volvo,144ea,9.2
196,-2,gas,std,4,sedan,rwd,front,264.92199999999997,479.552,170.68800000000002,142.74800000000002,1331.29252,ohc,4,2.3,mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0,volvo,244dl,9.0
197,-1,gas,std,4,wagon,rwd,front,264.92199999999997,479.552,170.68800000000002,146.05,1379.826864,ohc,4,2.3,mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0,volvo,245,9.0
198,-2,gas,turbo,4,sedan,rwd,front,264.92199999999997,479.552,170.68800000000002,142.74800000000002,1381.1876399999999,ohc,4,2.1,mpfi,3.62,3.15,7.5,162,5100,17,22,18420.0,volvo,264gl,12.1
199,-1,gas,turbo,4,wagon,rwd,front,264.92199999999997,479.552,170.68800000000002,146.05,1431.989944,ohc,4,2.1,mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0,volvo,diesel,12.1
200,-1,gas,std,4,sedan,rwd,front,277.114,479.552,175.00600000000003,140.97,1339.003584,ohc,4,2.3,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0,volvo,145e (sw),9.2
201,-1,gas,turbo,4,sedan,rwd,front,277.114,479.552,174.75199999999998,140.97,1383.002008,ohc,4,2.3,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0,volvo,144ea,10.7
202,-1,gas,std,4,sedan,rwd,front,277.114,479.552,175.00600000000003,140.97,1366.219104,ohcv,6,2.8,mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0,volvo,244dl,11.5
203,-1,diesel,turbo,4,sedan,rwd,front,277.114,479.552,175.00600000000003,140.97,1459.205464,ohc,6,2.4,idi,3.01,3.4,23.0,106,4800,26,27,22470.0,volvo,246,8.9
204,-1,gas,turbo,4,sedan,rwd,front,277.114,479.552,175.00600000000003,140.97,1388.898704,ohc,4,2.3,mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0,volvo,264gl,10.7
